,movie,year,run_time,genre,rating,about,keywords
34,avengers: infinity war,2018,149 min,action  adventure  sci-fi            ,8.4,the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe,the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe action  adventure  sci-fi            
35,the goonies,1985,114 min,adventure  comedy  family            ,7.8,a group of young misfits called the goonies discover an ancient map and set out on an adventure to find a legendary pirates longlost treasure,a group of young misfits called the goonies discover an ancient map and set out on an adventure to find a legendary pirates longlost treasure adventure  comedy  family            
36,the silence of the lambs,1991,118 min,crime  drama  thriller            ,8.6,a young fbi cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims,a young fbi cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims crime  drama  thriller            
37,inglourious basterds,2009,153 min,adventure  drama  war            ,8.3,in nazioccupied france during world war ii a plan to assassinate nazi leaders by a group of jewish us soldiers coincides with a theatre owners vengeful plans for the same,in nazioccupied france during world war ii a plan to assassinate nazi leaders by a group of jewish us soldiers coincides with a theatre owners vengeful plans for the same adventure  drama  war            
38,blade runner 2049,2017,164 min,action  drama  mystery            ,8.0,young blade runner ks discovery of a longburied secret leads him to track down former blade runner rick deckard whos been missing for thirty years,young blade runner ks discovery of a longburied secret leads him to track down former blade runner rick deckard whos been missing for thirty years action  drama  mystery            
39,1917,2019,119 min,drama  thriller  war            ,8.3,april 6th 1917 as a regiment assembles to wage war deep in enemy territory two soldiers are assigned to race against time and deliver a message that will stop 1600 men from walking straight into a deadly trap,april 6th 1917 as a regiment assembles to wage war deep in enemy territory two soldiers are assigned to race against time and deliver a message that will stop 1600 men from walking straight into a deadly trap drama  thriller  war            
40,guardians of the galaxy vol. 2,2017,136 min,action  adventure  comedy            ,7.6,the guardians struggle to keep together as a team while dealing with their personal family issues notably starlords encounter with his father the ambitious celestial being ego,the guardians struggle to keep together as a team while dealing with their personal family issues notably starlords encounter with his father the ambitious celestial being ego action  adventure  comedy            
41,the matrix,1999,136 min,action  sci-fi            ,8.7,when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence,when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence action  sci-fi            
42,back to the future,1985,116 min,adventure  comedy  sci-fi            ,8.5,marty mcfly a 17yearold high school student is accidentally sent thirty years into the past in a timetraveling delorean invented by his close friend the eccentric scientist doc brown,marty mcfly a 17yearold high school student is accidentally sent thirty years into the past in a timetraveling delorean invented by his close friend the eccentric scientist doc brown adventure  comedy  sci-fi            
43,deadpool,2016,108 min,action  adventure  comedy            ,8.0,a wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks,a wisecracking mercenary gets experimented on and becomes immortal but ugly and sets out to track down the man who ruined his looks action  adventure  comedy            
44,heat,1995,170 min,crime  drama  thriller            ,8.2,a group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist,a group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist crime  drama  thriller            
45,mystic river,2003,138 min,crime  drama  mystery            ,7.9,the lives of three men who were childhood friends are shattered when one of them has a family tragedy,the lives of three men who were childhood friends are shattered when one of them has a family tragedy crime  drama  mystery            
46,hacksaw ridge,2016,139 min,biography  drama  history            ,8.1,world war ii american army medic desmond t doss who served during the battle of okinawa refuses to kill people and becomes the first man in american history to receive the medal of honor without firing a shot,world war ii american army medic desmond t doss who served during the battle of okinawa refuses to kill people and becomes the first man in american history to receive the medal of honor without firing a shot biography  drama  history            
47,schindler's list,1993,195 min,biography  drama  history            ,8.9,in germanoccupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis,in germanoccupied poland during world war ii industrialist oskar schindler gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis biography  drama  history            
48,almost famous,2000,122 min,adventure  comedy  drama            ,7.9,a highschool boy is given the chance to write a story for rolling stone magazine about an upandcoming rock band as he accompanies them on their concert tour,a highschool boy is given the chance to write a story for rolling stone magazine about an upandcoming rock band as he accompanies them on their concert tour adventure  comedy  drama            
49,alien,1979,117 min,horror  sci-fi            ,8.4,after a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun,after a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun horror  sci-fi            
50,mad max: fury road,2015,120 min,action  adventure  sci-fi            ,8.1,in a postapocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners a psychotic worshiper and a drifter named max,in a postapocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners a psychotic worshiper and a drifter named max action  adventure  sci-fi            
51,the departed,2006,151 min,crime  drama  thriller            ,8.5,an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston,an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston crime  drama  thriller            
52,american psycho,2000,101 min,comedy  crime  drama            ,7.6,a wealthy new york city investment banking executive patrick bateman hides his alternate psychopathic ego from his coworkers and friends as he delves deeper into his violent hedonistic fantasies,a wealthy new york city investment banking executive patrick bateman hides his alternate psychopathic ego from his coworkers and friends as he delves deeper into his violent hedonistic fantasies comedy  crime  drama            
53,"three billboards outside ebbing, missouri",2017,115 min,comedy  crime  drama            ,8.1,a mother personally challenges the local authorities to solve her daughters murder when they fail to catch the culprit,a mother personally challenges the local authorities to solve her daughters murder when they fail to catch the culprit comedy  crime  drama            
54,iron man,2008,126 min,action  adventure  sci-fi            ,7.9,after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil,after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil action  adventure  sci-fi            
55,gladiator,2000,155 min,action  adventure  drama            ,8.5,a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery action  adventure  drama            
56,gone girl,2014,149 min,drama  mystery  thriller            ,8.1,with his wifes disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when its suspected that he may not be innocent,with his wifes disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when its suspected that he may not be innocent drama  mystery  thriller            
57,goodfellas,1990,146 min,biography  crime  drama            ,8.7,the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italianamerican crime syndicate,the story of henry hill and his life in the mob covering his relationship with his wife karen hill and his mob partners jimmy conway and tommy devito in the italianamerican crime syndicate biography  crime  drama            
58,shutter island,2010,138 min,mystery  thriller            ,8.2,in 1954 a us marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane,in 1954 a us marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane mystery  thriller            
59,prisoners,2013,153 min,crime  drama  mystery            ,8.1,when keller dovers daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts,when keller dovers daughter and her friend go missing he takes matters into his own hands as the police pursue multiple leads and the pressure mounts crime  drama  mystery            
60,the dark knight rises,2012,164 min,action  adventure            ,8.4,eight years after the jokers reign of anarchy batman with the help of the enigmatic catwoman is forced from his exile to save gotham city from the brutal guerrilla terrorist bane,eight years after the jokers reign of anarchy batman with the help of the enigmatic catwoman is forced from his exile to save gotham city from the brutal guerrilla terrorist bane action  adventure            
61,arrival,2016,116 min,drama  sci-fi            ,7.9,a linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world,a linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world drama  sci-fi            
62,mission: impossible - fallout,2018,147 min,action  adventure  thriller            ,7.7,ethan hunt and his imf team along with some familiar allies race against time after a mission gone wrong,ethan hunt and his imf team along with some familiar allies race against time after a mission gone wrong action  adventure  thriller            
63,watchmen,2009,162 min,action  drama  mystery            ,7.6,in 1985 where former superheroes exist the murder of a colleague sends active vigilante rorschach into his own sprawling investigation uncovering something that could completely change the course of history as we know it,in 1985 where former superheroes exist the murder of a colleague sends active vigilante rorschach into his own sprawling investigation uncovering something that could completely change the course of history as we know it action  drama  mystery            
64,the princess bride,1987,98 min,adventure  family  fantasy            ,8.1,while home sick in bed a young boys grandfather reads him the story of a farmboyturnedpirate who encounters numerous obstacles enemies and allies in his quest to be reunited with his true love,while home sick in bed a young boys grandfather reads him the story of a farmboyturnedpirate who encounters numerous obstacles enemies and allies in his quest to be reunited with his true love adventure  family  fantasy            
65,fight club,1999,139 min,drama            ,8.8,an insomniac office worker and a devilmaycare soap maker form an underground fight club that evolves into much more,an insomniac office worker and a devilmaycare soap maker form an underground fight club that evolves into much more drama            
66,hamilton,2020,160 min,biography  drama  history            ,8.5,the real life of one of americas foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast,the real life of one of americas foremost founding fathers and first secretary of the treasury alexander hamilton captured live on broadway from the richard rodgers theater with the original broadway cast biography  drama  history            
67,whiplash,2014,106 min,drama  music            ,8.5,a promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential,a promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential drama  music            
